period,status,submitted,start,stop,title,source,id,amount_all,amount_wallace,role,PI
Assistant Professor,Declined,2015-10-06,2016-06-01,2017-01-31,Induction of Nitrogen stress tolerance in Maize using biological seed treatment products,USDA-NIFA,NA,61442,59190,Co-PI,M. Cadle-Davidson
Assistant Professor,Declined,2015-11-19,2016-07-15,2021-07-14,The Role of the Maize Microbiome on Biomass Production under Field Conditions,DOE,NA,949353,949353,PI,J. Wallace
Assistant Professor,Finished,2016-02-16,2016-05-01,2016-12-31,Genomic Comparison of Toxic and Non-toxic Endophytes of Tall Fescue,UGA OVPR,NA,9806,9806,PI,J. Wallace
Assistant Professor,Declined,2016-11-02,2017-07-01,2020-06-30,Ecosystems Underfoot: Using undergraduate research on the urban microbiome to assess the impact of research participation on STEM recruitment and retention,NSF,NA,299992,25000,Co-PI,M. Momany
Assistant Professor,Finished,2016-12-02,2017-01-01,2017-12-31,A Comparison of Corn Biological Seed Treatments for use in Georgia,Georgia Corn Commission,NA,19840,19840,PI,J. Wallace
Assistant Professor,Finished,2016-12-02,2017-01-01,2017-12-31,Support for Georgia Locations in the US-wide Genomes to Fields (G2F) initiative,Georgia Corn Commission,NA,24260,24260,PI,J. Wallace
Assistant Professor,Finished,2017-01-09,2017-04-01,2018-06-30,Genomic Selection for Aflatoxin and Drought Resistance in Peanut,Georgia Peanut Commission,NA,15000,15000,PI,J. Wallace
Assistant Professor,Declined,2017-02-23,2018-01-01,2021-12-31,GEPR: Bridging the gap between genomics clues and improved (cotton) plants,NSF-PGRP,NA,3472863,244358,Co-PI,A. Paterson
Assistant Professor,Declined,2017-04-21,2018-01-01,2020-12-31,Harnessing Microbes to Improve Crop Efficiency and Production,FFAR,NA,524118,524118,PI,J. Wallace
Assistant Professor,Declined,2017-04-28,2017-07-01,2018-06-30,Analysis of the urban landscape microbiome surrounding the UGA Science Learning Center,UGA CAES Seed Grants,NA,6845,6845,PI,J. Wallace
Assistant Professor,Finished,2017-06-14,2018-01-01,2021-12-31,Building soil health with living mulch cultivation,USDA-NIFA,2018-67013-27401,498181,38588,Co-PI,N. Hill
Assistant Professor,Finished,2017-06-16,2018-01-01,2019-12-31,BFP 2017 Asia & LA: CSA and GRA Bangladesh,USDA Foreign Ag Service,FX17BF-10777R040,39356,39356,Co-PI,A. Bart
