period,date,title,event,location,invited_or_volunteered,international
Assistant Professor,2015-02-13,Leveraging Genomics to Improve Staple Crops,International Crops Research Institute for the Semi-Arid Tropics invited speaker,"Hyderabad, India",invited,TRUE
Assistant Professor,2015-02-19,Applying High-Throughput Genomics to Crops for the Developing World,Next Generation Genomics and Integrated Breeding for Crop Improvement,"Hyderabad, India",,TRUE
Assistant Professor,2015-06-30,Analyzing the Leaf Microbiome across 270 Diverse Maize Lines,Phytobiomes 2015,"Washington, D.C.",,TRUE
Assistant Professor,2015-10-02,Leveraging Genomics to Improve Staple Crops,UGA Institute of Bioinformatics Seminar Series,"Athens, Georgia",,
Assistant Professor,2015-10-30,Leveraging Genomics to Improve Staple Crops,UGA Plant Center Retreat,"Helen, Georgia",,
Assistant Professor,2016-01-13,Analyzing the Leaf Microbiome across 270 Diverse Maize Lines,Plant & Animal Genome XXIV,"San Diego, California",,TRUE
Assistant Professor,2016-03-20,The effect of host genetics on the maize leaf microbiome across 270 diverse inbred lines,58th Annual Maize Genetics Conference,"Jacksonville, Florida",volunteer,TRUE
Assistant Professor,2016-04-22,Genotyping by Sequencing (GBS) Method Overview,BMZ Heterosis Project Meeting & Training,"Niamey, Niger",invited,TRUE
Assistant Professor,2016-04-22,TASSEL/GBS Practical Examples,BMZ Heterosis Project Meeting & Training,"Niamey, Niger",invited,TRUE
Assistant Professor,2016-04-25,Leveraging Genomics to Improve Staple Crops,West African Center for Crop Improvement seminar series,"Accra, Ghana",invited,TRUE
Assistant Professor,2016-04-26,Genotyping by Sequencing (GBS) Method Overview,West African Center for Crop Improvement seminar series,"Accra, Ghana",invited,TRUE
Assistant Professor,2016-05-20,Leveraging Genomics to Improve Staple Crops,"UGA Institute of Plant Breeding, Genetics, and Genomics Annual Retreat","Athens, Georgia",invited,
Assistant Professor,2016-08-16,Nested Association Mapping for QTL Discovery and Genome-Wide Association,7th International Crop Science Congress,"Beijing, China",invited,TRUE
Assistant Professor,2016-08-24,The Effect of Host Genetics on the Maize Leaf Microbiome,UGA Plant Functional Genomics Seminar,"Athens, Georgia",,
Assistant Professor,2016-09-21,Leveraging Genomics to Improve Staple Crops,UGA Genetics Seminar Series,"Athens, Georgia",,
Assistant Professor,2017-01-14,Exploring the other maize genome: Quantitative analysis of how maize plants interact with their microbial communities,Plant & Animal Genome XXV,"San Diego, California",,TRUE
Assistant Professor,2017-03-09,Unraveling the Genetics of Maize-Microbiome Interactions,NewLeaf Symbiotics invited presentation,"Saint Louis, Missouri",invited,
Assistant Professor,2017-07-18,Harnessing Fungi to Improve Agriculture,Mycological Society of America,"Athens, Georgia",,
