date,type,authors,title,url
2015-04-10,Interview (video),"Brown, David O.",Corn Genetics,http://vimeo.com/83842812 
2017-09-19,Press release,"Melancon, M. ",Code breakers unlock pearl millet's heat tolerance to fight climate chaos.,http://www.caes.uga.edu/news/story.html?storyid=6346&story=Resilient-Pearl-Millet
2017-09-22,Interview (Livestream),"Melancon, M. and Wallace, J. G.",Live from the Lab: The Pearl Millet Genome.,https://m.facebook.com/story.php?story_fbid=10159231245035234&id=10150089036300234
2017-12-30,Website,"Wallace, J.G.",Microbiome Research Community at UGA.,http://microbiomes.uga.edu/
2018-11-15,Press release,"Melancon, M. and Wallace, J. G.",UGA College of Agricultural and Environmental Sciences researchers secure over $1 million to understand how microbes help grass thrive.,http://www.caes.uga.edu/news-events/news/story.html?storyid=7790&story=Fescue%20Fungus 
2018-12-03,Press release,"Melancon, M. and Wallace, J. G.",University of Georgia researchers look to increase the pace of sustainable crop innovation with the help of the lowly bladderwort.,http://www.caes.uga.edu/news-events/news/story.html?storyid=7801&story=Bladderwort%20Research 
2018-12-19,Press release,"Melancon, M., Goldberg, S., and Wallace, J. G.",UGA professor receives 2018 New Innovator Award.,https://www.youtube.com/watch?v=VGeD-NBWlvo&feature=youtu.be
2019-06-11,Video,"Li, H., Van Katwyk, R., and Wallace, J. G.",Genomes to Fields Endophyte Sampling Protocol.,https://www.youtube.com/watch?v=VGeD-NBWlvo&feature=youtu.be
2020-08-13,Video,"Wallace, J.G., Gimode, D., and Wright, H.",Introduction to R Webinar Videos (1-6),https://www.youtube.com/playlist?list=PLSOPy_2MlRFpMZUh8Cd516IDwU-Lbs4M4
2024-08-27,Magazine Article,"Hein, Treena",Crops that Fertilize Themselves,https://www.seedworld.com/us/2024/08/27/crops-that-fertilize-themselves/
2025-01-01,Podcast,"Wallace, J.G. & Kvitko, B.H.",Gaming with Science Podcast (25 episodes as of Jan 2025),https://www.gamingwithscience.net
